plec;stan_cyw;samozatr;dochod;suma_poz;historia;miejsce_zam;pozyczka
0;1;0;5167;200;1;1;1
1;0;0;4723;81;1;1;0
0;1;0;5000;236;1;1;1
0;1;0;4750;130;1;0;1
0;0;1;6822;141;1;2;1
0;0;0;6216;133;1;2;0
0;0;0;2500;96;1;1;0
0;1;0;6325;175;1;1;1
0;1;0;19730;570;1;2;0
1;0;1;15759;55;1;1;1
0;1;0;5185;155;1;1;1
0;1;1;9323;380;1;2;1
0;0;0;3062;111;0;0;0
0;1;0;4817;120;1;0;1
0;1;0;8750;130;1;2;1
0;0;0;3069;71;1;0;0
0;1;0;5391;130;1;0;1
0;0;0;5941;296;1;1;1
1;0;0;6000;156;1;0;1
0;0;1;7167;128;1;0;1
0;1;0;4566;100;1;0;0
0;0;0;2346;132;1;1;1
0;1;0;2333;136;1;0;1
0;1;0;5488;125;1;2;1
0;0;0;9167;185;1;2;1
0;1;0;9504;275;1;2;1
0;1;0;1993;113;1;1;1
0;1;0;3100;113;1;0;1
1;0;0;3180;71;0;0;0
0;1;0;3033;95;1;0;1
0;0;0;3902;109;1;2;1
1;0;0;1500;103;0;1;0
0;1;0;2889;45;0;0;0
0;0;0;2755;65;1;2;0
0;0;0;2500;103;1;1;1
1;0;0;1963;53;1;1;1
1;0;1;7441;194;1;2;0
1;0;0;4547;115;1;1;1
0;1;0;2167;115;1;0;1
1;0;0;2213;66;1;2;1
0;1;0;8300;152;0;1;0
0;1;0;81000;360;0;2;0
1;0;1;3867;62;1;1;0
0;1;0;6096;218;0;2;0
0;1;0;2253;110;1;2;1
1;1;0;2149;178;0;1;0
1;0;0;2995;60;1;0;1
1;0;0;2600;160;1;0;0
0;1;1;1600;239;1;0;0
0;1;0;1025;112;1;2;1
0;1;0;3246;138;1;1;1
0;1;0;5829;138;1;2;1
0;1;0;1820;100;1;0;1
0;1;0;14880;96;1;1;1
0;1;0;2666;121;1;2;1
1;0;0;4606;81;1;2;0
0;1;0;5935;133;1;1;1
0;1;0;2920;87;1;2;1
0;0;0;2717;60;1;0;1
1;0;1;8624;150;1;1;1
0;0;0;6500;105;0;2;0
0;1;0;2425;143;1;1;1
0;0;0;3750;100;1;0;1
0;0;0;1926;50;1;1;1
0;0;1;10416;187;0;0;0
1;1;1;7142;138;1;2;1
0;0;0;3660;187;1;1;1
0;1;0;7901;180;1;2;1
0;0;0;4707;148;1;1;1
0;0;0;37719;152;1;1;1
0;1;1;3466;130;1;2;1
0;1;0;4652;110;1;2;1
0;1;0;3340;150;0;2;0
0;1;0;2309;125;0;2;0
0;1;0;3948;149;0;2;0
0;1;0;2483;90;0;2;1
0;0;1;7085;84;1;1;1
0;1;0;3859;96;1;1;1
0;1;0;4301;118;1;0;1
0;1;0;3708;173;1;0;0
0;0;0;4354;136;1;2;1
0;1;0;8334;160;1;1;0
0;1;0;7740;128;1;0;1
0;1;0;3015;153;1;2;1
0;0;0;4166;98;0;1;0
0;0;0;6000;140;1;2;1
0;1;0;2947;70;0;0;0
0;1;0;4333;110;1;0;0
0;1;1;3450;162;1;1;1
0;1;0;2653;113;0;2;0
0;1;0;4691;100;1;1;1
0;0;0;5532;162;1;2;1
0;1;1;16525;150;1;2;1
0;1;0;6700;230;1;1;1
0;1;1;16667;86;1;1;1
1;0;0;4350;154;1;2;1
0;1;0;3095;113;1;2;1
0;1;0;2083;128;1;1;1
0;1;0;10833;234;1;1;1
0;1;0;8333;246;1;1;1
0;1;0;1958;131;1;2;1
0;0;0;3547;80;0;2;0
0;1;0;18333;500;1;0;0
0;1;1;4583;160;1;1;1
0;0;0;2435;75;1;0;0
0;0;0;3691;110;1;2;1
1;0;1;17263;225;1;1;1
0;1;0;3597;119;0;2;0
1;1;0;3326;105;1;1;1
0;1;0;2600;107;1;2;1
0;1;1;2895;95;1;1;1
0;0;0;6283;209;0;2;0
1;0;0;645;113;1;2;1
1;0;0;3159;100;1;1;1
0;1;0;4865;208;1;1;1
0;1;0;3814;124;1;1;1
0;1;0;3510;243;1;2;1
0;1;1;2479;188;1;0;1
1;0;0;13262;40;1;0;1
0;0;0;3598;100;1;2;0
0;1;0;6065;250;1;1;1
0;1;0;3283;148;1;0;1
0;1;0;2130;70;1;1;0
0;0;0;5815;311;1;2;0
0;1;0;3466;150;1;2;1
1;1;0;2031;113;1;1;1
0;0;0;4683;185;1;1;0
1;0;0;3400;95;1;2;0
0;1;0;2192;45;1;1;1
0;0;0;2500;55;1;1;1
0;1;1;5677;100;1;2;1
0;1;1;7948;480;1;2;1
0;1;1;17500;400;1;2;1
0;1;0;3775;110;1;1;1
0;1;0;5285;161;0;1;1
0;0;0;2679;94;1;1;1
0;0;0;6783;130;1;1;1
0;1;0;4281;100;1;0;1
0;0;0;3588;110;0;2;0
1;0;1;18165;125;1;0;1
0;1;0;6133;324;1;0;1
0;0;0;3617;107;1;1;1
0;1;0;2917;66;1;2;0
0;1;0;6417;157;1;2;1
1;1;0;4608;140;1;1;1
1;0;0;2138;99;0;1;0
0;1;0;2239;128;1;0;1
0;1;0;2768;155;1;2;1
0;0;0;3358;80;1;1;0
0;0;0;2526;145;1;2;1
1;0;0;5000;103;0;1;0
0;1;0;2785;110;1;2;1
0;1;0;3333;158;1;0;1
0;1;0;2454;181;0;0;0
0;1;0;3593;132;0;2;0
0;1;0;5468;26;1;1;1
0;1;1;10139;260;1;1;1
0;1;0;3887;162;1;1;1
1;1;0;4180;182;1;1;1
0;1;0;3675;108;1;1;1
1;1;1;19484;600;1;1;1
0;1;0;5923;211;1;2;1
0;0;1;5800;132;1;1;1
0;1;0;8799;258;0;0;0
0;0;0;3333;70;1;0;1
0;1;0;3400;123;0;2;0
1;0;0;2378;9;1;0;0
0;1;0;3166;104;0;0;0
0;1;0;3417;186;1;0;1
0;1;0;16666;275;1;0;1
0;1;0;6125;187;1;1;0
0;1;0;6406;150;1;1;0
0;1;0;3159;108;1;0;1
0;0;0;3229;110;1;0;1
0;1;0;1782;107;1;2;1
0;1;0;6540;205;1;1;1
0;0;0;1836;90;1;0;0
1;1;0;3166;36;1;1;1
0;1;0;2787;146;0;2;0
0;1;0;4283;172;1;2;0
0;1;0;2297;104;1;0;1
1;0;0;2165;70;1;1;1
0;1;1;2726;106;0;1;0
0;1;0;3000;56;1;1;1
0;1;1;6000;205;1;1;0
0;1;0;3859;142;1;2;1
0;1;1;16120;260;1;0;1
0;0;0;3833;110;1;2;1
0;1;1;6383;187;1;2;0
0;1;1;9963;180;1;2;1
0;1;0;5780;192;1;0;1
0;1;0;5703;128;1;0;1
0;0;0;3676;172;1;2;1
1;1;0;12000;496;1;1;1
0;1;0;3400;173;1;1;1
0;1;0;3987;157;1;2;1
0;1;0;3232;108;1;2;1
1;0;0;2900;71;1;2;1
0;1;0;4106;40;1;2;1
0;1;0;8072;253;1;0;1
0;1;0;7583;187;1;0;1
1;0;1;4583;133;0;1;0
